TEsubFam	V1	X1	X2	age1	age2	age1.curated	is.age.curated
AluSq	AluSq	2.7704583	-5.659785829	27	43	27	No
HERV9NC-int	HERV9NC-int	-3.076839062	2.756566467	27	15	27	No
L1PA6	L1PA6	-3.599197279	-1.259788502	27	29	27	No
LTR12	LTR12	-3.365438914	2.850971496	27	29	27	No
LTR12C	LTR12C	-3.348689762	2.823677706	27	15	27	No
LTR22B2	LTR22B2	-1.156291323	3.020209805	27	29	27	No
AluSq2	AluSq2	2.887699819	-6.076515693	28	43	28	No
HERV9N-int	HERV9N-int	-2.05440376	2.825510088	28	20	28	No
HERV9-int	HERV9-int	-2.226955987	2.649620654	29	20	29	No
LTR12_	LTR12_	-1.983736363	2.4415999	29	29	29	No
LTR14C	LTR14C	-2.506318647	2.46812125	29	20	29	No
LTR7Y	LTR7Y	-2.360993879	2.863478177	29	9	29	No
AluSx1	AluSx1	2.900287588	-6.154707709	30	43	30	No
AluSx3	AluSx3	2.819665479	-5.994589213	30	29	30	No
Harlequin-int	Harlequin-int	-2.403861838	2.55953168	30	20	30	No
AluSx	AluSx	2.87345217	-6.111642794	31	43	31	No
L1PA7	L1PA7	-3.576155229	-1.302671548	31	29	31	No
MER11C	MER11C	-2.851562962	2.94856195	31	20	31	No
L1P2	L1P2	-2.369716973	2.721928143	32	20	32	No
L1PA8	L1PA8	-3.539503487	-1.279516579	32	43	32	No
LTR30	LTR30	-2.513734778	3.055203389	32	29	32	No
AluSz	AluSz	2.809788503	-6.061418956	33	43	33	No
LTR3B	LTR3B	-2.276500021	2.192051078	33	29	33	No
MER48	MER48	-1.543211646	2.663892061	33	29	33	No
LTR12D	LTR12D	-3.275098642	2.850011562	34	20	34	No
LTR12F	LTR12F	-0.574966348	1.067064233	34	29	34	No
MER41A	MER41A	0.198190987	-1.260622949	34	43	34	No
PABL_A	PABL_A	-2.141062267	-0.128536087	34	43	34	No
LTR1C	LTR1C	-2.489898385	4.545878582	35	43	35	No
LTR2C	LTR2C	-2.138673962	3.035511291	35	20	35	No
LTR3	LTR3	4.469557422	-1.033430911	35	29	35	No
LTR71A	LTR71A	-1.577607027	2.196535358	35	43	35	No
MER4E1	MER4E1	0.590711692	-1.312437496	35	29	35	No
THE1A	THE1A	-4.439991698	1.280924194	35	43	35	No
AluYh9	AluYh9	-1.952122143	2.40720772	35.5	29	35.5	No
LTR7	LTR7	-2.834646009	3.906664685	36	20	36	No
HERVL-int	HERVL-int	-3.728907903	2.135594418	37	29	37	No
LTR1C1	LTR1C1	-2.526390499	4.691157986	37	43	37	No
MLT2A1	MLT2A1	1.042027909	-4.391793459	37	43	37	No
THE1A-int	THE1A-int	-4.409800931	1.32560988	37	29	37	No
AluSz6	AluSz6	1.462058122	-5.85445046	38	43	38	No
HERVK11-int	HERVK11-int	-2.930887767	2.825566302	38	15	38	No
LTR10F	LTR10F	-3.061592731	2.396567218	38	29	38	No
LTR19B	LTR19B	-1.813127605	2.745556333	38	43	38	No
LTR22A	LTR22A	-2.197595274	2.911495804	38	29	38	No
HERVK14-int	HERVK14-int	-2.90681417	2.179669834	39	29	39	No
L1PA8A	L1PA8A	-3.504410337	-1.28265123	39	43	39	No
MER11A	MER11A	-2.951236457	3.179724885	39	20	39	No
LTR1C3	LTR1C3	-2.440663337	4.104175835	39.5	43	39.5	No
HERV30-int	HERV30-int	-2.09783905	2.853287066	40	15	40	No
L1P3	L1P3	-2.499097318	2.406830671	40	29	40	No
L1PA10	L1PA10	-3.469739531	-1.350941169	40	43	40	No
LTR10D	LTR10D	-2.678139377	2.700559255	40	29	40	No
LTR71B	LTR71B	-2.204928979	2.822663925	40	43	40	No
HERVE_a-int	HERVE_a-int	-2.252117433	2.628795603	40.5	20	40.5	No
LTR3B_	LTR3B_	-2.227106101	2.205419556	41	29	41	No
MER11B	MER11B	-2.932380618	3.129208962	41	20	41	No
MER4E	MER4E	0.621243134	-1.409169488	41	43	41	No
MER51B	MER51B	0.511142238	0.716508461	41	43	41	No
HERVK-int	HERVK-int	-2.32538323	2.620917377	42	15	42	No
HERVK14C-int	HERVK14C-int	-2.732174985	2.433593406	42	12	42	No
LTR14B	LTR14B	-3.044003448	2.144985102	42	29	42	No
LTR1B0	LTR1B0	-2.443754437	4.564417429	42	43	42	No
LTR1F	LTR1F	-2.492655627	4.795340533	42	43	42	No
LTR22E	LTR22E	-4.209714839	4.165156743	42	29	42	No
LTR3A	LTR3A	-2.656666774	2.60164308	42	29	42	No
LTR66	LTR66	0.328262884	0.799505347	42	20	42	No
MER57A1	MER57A1	0.469163646	-1.578806644	42	43	42	No
HERVFH19-int	HERVFH19-int	-2.064444868	2.864482932	43	20	43	No
LTR1	LTR1	-3.770269636	3.117164922	43	43	43	No
LTR1A2	LTR1A2	-2.431906216	2.576002888	43	43	43	No
MER41C	MER41C	0.052775814	-0.72935427	43	43	43	No
PRIMA4_LTR	PRIMA4_LTR	0.29502095	1.111238666	43	43	43	No
L1PA11	L1PA11	-3.499883103	-1.311818147	44	43	44	No
LTR1F1	LTR1F1	-2.490133247	4.786947266	44	43	44	No
LTR61	LTR61	-2.469222675	2.802009785	44	29	44	No
THE1B-int	THE1B-int	-4.700066547	1.038132557	44	29	44	No
L1PB1	L1PB1	-2.561918855	-2.316938993	45	29	45	No
LTR1A1	LTR1A1	-2.615691635	4.691101044	45	43	45	No
LTR22C0	LTR22C0	-4.228562261	4.187019962	45	29	45	No
LTR5	LTR5	-2.786474755	2.084159564	45	6	45	No
MER4A1	MER4A1	0.802324056	-1.254311236	45	43	45	No
MER57B1	MER57B1	0.461233147	0.048570542	45	43	45	No
THE1C	THE1C	-4.739479911	0.996866726	45	43	45	No
MER41B	MER41B	0.15229779	-1.379363911	46	43	46	No
THE1-int	THE1-int	-3.997393642	1.65200585	46	29	46	No
THE1B	THE1B	-4.668465353	1.065038161	46	43	46	No
HERVH48-int	HERVH48-int	-2.725166373	4.208479969	46.5	29	46.5	No
L1PA14	L1PA14	-3.347584709	-1.407806784	47	43	47	No
LTR14	LTR14	-2.995321018	2.106213478	47	29	47	No
LTR18A	LTR18A	-2.203652915	3.128918449	47	43	47	No
LTR1B	LTR1B	-2.526228767	4.732243553	47	43	47	No
LTR21A	LTR21A	-2.148179981	2.929548005	47	29	47	No
LTR9B	LTR9B	-0.380621788	1.578657143	47	29	47	No
L1PB	L1PB	0.133376894	-5.411673709	48	29	48	No
LTR13_	LTR13_	-1.638973431	3.750096754	48	20	48	No
LTR15	LTR15	-1.36310672	3.085998127	48	29	48	No
LTR21B	LTR21B	-1.885105381	1.978359813	48	29	48	No
LTR76	LTR76	-2.67464278	3.562521642	48	29	48	No
AluYh3a3	AluYh3a3	-2.097872121	2.617390186	48.5	29	48.5	No
L1MA1	L1MA1	0.365833046	-5.360089415	49	43	49	No
L1PA13	L1PA13	-3.462071668	-1.346295231	49	43	49	No
LTR19-int	LTR19-int	-1.865625525	2.838324085	49	20	49	No
MER4A1_	MER4A1_	0.754052356	-1.326479039	49	43	49	No
HERVH-int	HERVH-int	-2.730675556	2.522298729	50	9	50	No
LTR1D	LTR1D	-2.607762588	4.826639186	50	43	50	No
LTR1D1	LTR1D1	-2.59252231	4.862146281	50	43	50	No
HERV15-int	HERV15-int	-2.004452546	2.780042984	51	20	51	No
HERVE-int	HERVE-int	-3.953388432	2.018601046	51	15	51	No
L1PA12	L1PA12	-2.610413316	3.223870542	51	43	51	No
MER83B	MER83B	-2.04969474	0.135620333	51	43	51	No
MER84	MER84	-1.51548313	2.493200272	51	43	51	No
MLT2A2	MLT2A2	0.74329411	-4.942228952	51	43	51	No
THE1C-int	THE1C-int	-4.712057247	1.023487372	51	43	51	No
LTR10G	LTR10G	-3.937265756	3.221323813	51.5	29	51.5	No
LTR6A	LTR6A	-2.710197004	2.415348766	51.5	20	51.5	No
L1PB2	L1PB2	-2.640439304	-1.981079458	52	43	52	No
L1PREC2	L1PREC2	-3.43303405	-1.366471291	52	43	52	No
LTR12E	LTR12E	-3.000473117	3.107853901	52	20	52	No
LTR9A1	LTR9A1	-2.229619645	2.814897578	52	43	52	No
AluJo	AluJo	2.733148006	-5.649050132	53	43	53	No
L1PBa1	L1PBa1	-2.039619055	2.462972812	53	29	53	No
LTR10E	LTR10E	-4.100659227	3.332667535	53	29	53	No
LTR19A	LTR19A	-1.122273441	1.816526797	53	43	53	No
LTR1B1	LTR1B1	-2.4186507	4.459360041	53	43	53	No
MER41E	MER41E	0.188437958	1.528526155	53	43	53	No
MER4C	MER4C	0.845746036	0.543620846	53	43	53	No
MER51E	MER51E	-1.734397524	2.35833343	53	43	53	No
LTR35A	LTR35A	-1.442164408	2.457001635	53.5	43	53.5	No
FLAM_C	FLAM_C	2.823001972	-5.241589565	54	43	54	No
L1MA2	L1MA2	-2.795591974	-1.67817153	54	29	54	No
LTR9	LTR9	0.509261081	-1.559236197	54	43	54	No
MER4A	MER4A	0.809634138	-1.275090441	54	43	54	No
MER51A	MER51A	-3.02630702	4.593035283	54	43	54	No
AluJb	AluJb	2.867073876	-6.106102401	55	43	55	No
LTR27	LTR27	-3.371655917	5.098509993	55	43	55	No
THE1D	THE1D	-4.725950425	1.007381907	55	43	55	No
LTR22B	LTR22B	-4.161981086	4.135659597	55.5	29	55.5	No
AluJr	AluJr	2.837608991	-6.010057813	56	43	56	No
AluJr4	AluJr4	3.046967713	-3.376257976	56	43	56	No
LTR43	LTR43	-0.223950945	1.346222576	56	43	56	No
MER51C	MER51C	-1.39484103	1.335869757	56	43	56	No
MER57-int	MER57-int	-2.079293598	0.877204681	56	29	56	No
MER61E	MER61E	-3.146182008	4.679049222	56	43	56	No
MER84-int	MER84-int	-1.995721733	2.90987698	56	43	56	No
HERVK22-int	HERVK22-int	-4.185998307	4.150303808	57	29	57	No
L1P5	L1P5	1.531940872	-2.056952642	57	43	57	No
LTR1F2	LTR1F2	-2.525462523	4.787036354	57	43	57	No
LTR47B4	LTR47B4	-1.677571612	2.877506011	57	43	57	No
MER4B	MER4B	-1.956830321	-0.182856265	57	43	57	No
MER83	MER83	-1.994176469	0.219669737	57	43	57	No
THE1D-int	THE1D-int	-4.779442226	0.956383807	57	29	57	No
HERVS71-int	HERVS71-int	-2.554910313	2.993810236	58	15	58	No
HUERS-P3b-int	HUERS-P3b-int	-2.443061227	0.920911185	58	29	58	No
L1P3b	L1P3b	-2.434171974	2.628629924	58	29	58	No
LTR18B	LTR18B	-1.044061605	3.328153468	58	43	58	No
LTR46	LTR46	-0.540084173	2.487123334	58	43	58	No
LTR5B	LTR5B	-2.804163472	2.241424913	58	20	58	No
MER41-int	MER41-int	-2.163204021	-0.089413407	58	29	58	No
MER4D1	MER4D1	0.351696645	-1.867402182	58	43	58	No
MER57B2	MER57B2	0.805584787	1.457396006	58	43	58	No
PABL_A-int	PABL_A-int	-2.172221852	-0.077677394	58	29	58	No
HUERS-P1-int	HUERS-P1-int	-1.445016475	1.403511005	59	29	59	No
L1MA3	L1MA3	-2.762374884	-1.899199386	59	29	59	No
LTR9C	LTR9C	-1.428803375	1.707854182	59	43	59	No
MER4-int	MER4-int	-2.21505551	-0.159372977	59	29	59	No
MER61C	MER61C	-3.02706618	4.545454743	59	43	59	No
MER51-int	MER51-int	-2.18204406	0.095211287	59.5	29	59.5	No
L1PA15	L1PA15	-2.895321763	-1.901018999	60	43	60	No
LTR1E	LTR1E	-2.477189781	4.809880442	60	43	60	No
LTR35	LTR35	-1.618151776	2.514199511	60	43	60	No
MER4D0	MER4D0	1.433365288	0.090987507	60	43	60	No
FLAM_A	FLAM_A	3.038287651	-3.248855009	61	43	61	No
FRAM	FRAM	2.794668365	-5.240510638	61	43	61	No
LTR47B2	LTR47B2	-1.380440129	1.834454227	61	43	61	No
MER52C	MER52C	-3.037884996	4.964216967	61	43	61	No
MER61-int	MER61-int	-2.690915379	2.032776415	61	29	61	No
MER61B	MER61B	-0.470578936	1.62341364	61	43	61	No
MER61D	MER61D	-3.1411435	4.70807712	61	43	61	No
LTR47B	LTR47B	-1.853394255	2.024189603	61.5	43	61.5	No
LTR10A	LTR10A	-4.02561967	3.26696798	62	29	62	No
LTR26D	LTR26D	0.139683298	1.504146368	62	43	62	No
LTR7C	LTR7C	-2.271960407	3.014340452	62	29	62	No
MER50B	MER50B	0.78505835	-1.100952973	62	43	62	No
HERVK3-int	HERVK3-int	-2.494264826	2.174539882	62.5	20	62.5	No
L1PA16	L1PA16	-3.335285261	-1.465542327	63	43	63	No
LOR1a	LOR1a	-1.157116954	0.997616435	63	43	63	No
LTR22B1	LTR22B1	-4.149349149	4.119083232	63	29	63	No
LTR26B	LTR26B	-0.782361566	2.100619245	63	43	63	No
MER61F	MER61F	-2.950568783	4.435960907	63	43	63	No
MSTA	MSTA	-4.710037388	1.023776288	63	43	63	No
HUERS-P2-int	HUERS-P2-int	-2.594186383	4.653042306	63.5	29	63.5	No
LTR10B	LTR10B	-3.975394946	3.250483683	63.5	29	63.5	No
FAM	FAM	3.061160715	-2.920136046	64	67	64	No
L1MA5A	L1MA5A	0.052024003	-5.10395658	64	43	64	No
LTR28B	LTR28B	-2.633316404	4.833338241	64	43	64	No
LTR47B3	LTR47B3	-0.911545704	1.644191462	64	43	64	No
LTR62	LTR62	0.032625437	1.741290624	64	43	64	No
LTR9D	LTR9D	0.182968676	0.521415781	64	43	64	No
MER39B	MER39B	1.126910097	-1.696142838	64	43	64	No
MER50	MER50	-1.729333697	0.049698366	64	43	64	No
MER66D	MER66D	-1.914967105	2.237990501	64	43	64	No
HERVIP10FH-int	HERVIP10FH-int	-3.857527449	3.182074262	65	20	65	No
LTR24C	LTR24C	-0.102692868	1.770287218	65	43	65	No
MER61A	MER61A	-2.91097663	4.390435505	65	43	65	No
MER83C	MER83C	-1.203131696	2.019179087	65	43	65	No
L1P4	L1P4	0.32382111	-5.526790994	66	43	66	No
LTR22C2	LTR22C2	-4.143945794	4.115639306	66	29	66	No
LTR26C	LTR26C	-1.217605943	1.347418219	66	43	66	No
L1PB3	L1PB3	-2.615665152	-2.14244092	67	43	67	No
LTR8	LTR8	-1.413238925	1.324372671	67	43	67	No
L1PBa	L1PBa	-2.523910877	-2.192126221	68	29	68	No
LTR26	LTR26	-1.465389803	1.300421389	68	43	68	No
LTR28	LTR28	-3.203239736	4.956091165	68	43	68	No
MER52A	MER52A	-3.399475005	5.151672959	68	43	68	No
LTR06	LTR06	-2.042255759	1.023474336	68.5	74	68.5	No
MER51D	MER51D	-0.065103031	2.111692266	68.5	43	68.5	No
HERVL18-int	HERVL18-int	-2.56770511	2.862807785	69	29	69	No
LTR2752	LTR2752	-3.406558975	5.166540262	69	43	69	No
LTR27D	LTR27D	-3.213610134	4.845828567	69	43	69	No
MER41G	MER41G	-2.730822746	3.044307328	69	29	69	No
MER72	MER72	0.166109955	1.173478546	69	43	69	No
MSTA-int	MSTA-int	-4.71802386	1.014041525	69	29	69	No
MSTB	MSTB	1.154524251	-4.212068632	69	43	69	No
LTR4	LTR4	-0.544704705	0.655938322	69.5	29	69.5	No
LTR23	LTR23	0.047527715	1.518452877	70	43	70	No
LTR24	LTR24	-0.898044406	2.694927071	70	67	70	No
LTR47A	LTR47A	1.973645402	0.29801485	70	43	70	No
MER41D	MER41D	-0.383757565	1.601255923	70	43	70	No
MER65A	MER65A	-1.998127145	0.914609517	70	74	70	No
LTR10B1	LTR10B1	-3.982131156	3.276206246	71	29	71	No
LTR36	LTR36	0.063284602	1.607749756	71	43	71	No
LTR72	LTR72	-1.182720325	2.057928729	71	43	71	No
LTR77	LTR77	-3.210963671	4.730356788	71	43	71	No
MER87B	MER87B	-0.769897456	1.476706255	71	43	71	No
HERV1_I-int	HERV1_I-int	-2.179055948	2.818195314	71.5	20	71.5	No
HUERS-P3-int	HUERS-P3-int	-2.416484702	1.00177309	72	29	72	No
LTR39	LTR39	0.822267423	-1.083303528	72	43	72	No
LTR45C	LTR45C	-0.707114924	1.331053218	72	43	72	No
LTR59	LTR59	-0.5447679	2.118457031	72	43	72	No
MER50-int	MER50-int	-1.942578134	0.173323265	72	29	72	No
LTR64	LTR64	0.436410654	0.844339308	72.5	43	72.5	No
HERVP71A-int	HERVP71A-int	-3.157731951	3.188234977	73	29	73	No
L1PA17	L1PA17	-2.765315944	-1.741013891	73	43	73	No
LTR27E	LTR27E	-3.418506823	5.164425539	73	43	73	No
LTR38A1	LTR38A1	-1.11238973	1.788068975	73	43	73	No
LTR60	LTR60	-1.51122564	1.653694401	73	29	73	No
MER4B-int	MER4B-int	-2.099861989	0.014097333	73	29	73	No
MER57E3	MER57E3	-1.46642252	1.373213317	73	74	73	No
MER66C	MER66C	-1.6084123	1.97490013	73	43	73	No
LTR22C	LTR22C	-4.214782675	4.177813109	73.5	29	73.5	No
MER101	MER101	1.133563001	-1.689670905	74	43	74	No
MER21A	MER21A	2.966913079	-2.174148787	74	43	74	No
MER49	MER49	0.322506482	-1.264143165	74	43	74	No
MER52-int	MER52-int	-3.376781378	5.098405276	74	29	74	No
HERVKC4-int	HERVKC4-int	-2.518858717	2.617885162	75	20	75	No
L1MA5	L1MA5	-2.308308604	-2.733103733	75	67	75	No
LTR27C	LTR27C	-3.407606077	5.142948792	75	43	75	No
LTR38C	LTR38C	-1.070168795	1.960885588	75	43	75	No
LTR45	LTR45	-0.601217927	1.359164852	75	43	75	No
LTR72B	LTR72B	-0.972268355	1.866920069	75	43	75	No
MER34D	MER34D	-1.200355796	2.958380406	75	43	75	No
MSTB1	MSTB1	1.181904505	-4.250802981	75	67	75	No
L1MA8	L1MA8	-0.044608383	-5.88379147	76	74	76	No
LOR1-int	LOR1-int	-2.145237687	-0.106054909	76	29	76	No
LTR27B	LTR27B	-3.174173686	4.827692659	76	43	76	No
MER21B	MER21B	2.72863544	-1.912494412	76	67	76	No
MER54B	MER54B	0.053426872	1.057155433	76	74	76	No
MER57F	MER57F	0.431660746	0.669464134	76	74	76	No
MSTC	MSTC	2.050910792	-2.939070863	76	74	76	No
L1M1	L1M1	-2.515338951	-2.646626245	77	29	77	No
L1MA4A	L1MA4A	-2.535802602	-2.624231338	77	43	77	No
LTR42	LTR42	-1.497615321	1.983805979	77	74	77	No
LTR44	LTR44	-0.535023023	1.607023642	77	43	77	No
LTR47A2	LTR47A2	-1.663147355	2.089188869	77	67	77	No
MER4D	MER4D	0.458527844	-1.435625131	77	43	77	No
L1MC1	L1MC1	-2.748899815	-1.578895644	78	90	78	No
L1PB4	L1PB4	0.021592217	-5.754980851	78	43	78	No
LTR32	LTR32	2.384470442	-0.863320383	78	43	78	No
LTR8B	LTR8B	-1.45295032	1.284505355	78	43	78	No
MER83A-int	MER83A-int	-2.042375063	0.370753753	78	43	78	No
L1MA4	L1MA4	-2.509772198	-2.644904309	79	43	79	No
LTR57	LTR57	-2.04948519	0.34594698	79	43	79	No
LTR60B	LTR60B	-0.941881683	1.392070209	79	43	79	No
LTR69	LTR69	-0.532647942	1.231723483	79	90	79	No
LTR8A	LTR8A	-1.422181379	1.283446927	79	43	79	No
MER66B	MER66B	-1.189261708	1.815501565	79	43	79	No
MER73	MER73	0.400645438	0.777335316	79	90	79	No
LTR58	LTR58	-1.433878373	2.046925844	79.5	43	79.5	No
L1MA6	L1MA6	-2.609737384	-2.472140306	80	67	80	No
LOR1b	LOR1b	-1.099755654	0.72665948	80	43	80	No
MER31A	MER31A	0.430052356	0.277013938	80	90	80	No
MER95	MER95	-0.512398735	1.78663243	80	90	80	No
LTR19C	LTR19C	-2.526463901	4.149201877	80.5	29	80.5	No
LTR26E	LTR26E	-1.599983607	1.439951415	81	43	81	No
MER83B-int	MER83B-int	-2.066980934	0.257446149	81.5	29	81.5	No
HERV4_I-int	HERV4_I-int	-2.117655982	0.062006825	82	43	82	No
L1MA7	L1MA7	0.046057207	-5.704804229	82	74	82	No
L1MB3	L1MB3	0.15670965	-5.299660973	82	96	82	No
LTR25	LTR25	-3.180499202	4.741484747	82	29	82	No
LTR29	LTR29	0.391054137	0.119752056	82	43	82	No
LTR45B	LTR45B	0.109297851	1.235770199	82	43	82	No
LTR49	LTR49	0.183909526	-0.619971965	82	43	82	No
LTR51	LTR51	0.431543754	0.614232454	82	43	82	No
MLT2B2	MLT2B2	1.15298655	-3.368697854	82	90	82	No
LTR57-int	LTR57-int	-2.084215308	0.329319838	83	29	83	No
MSTB-int	MSTB-int	-4.31034423	1.357451621	83	29	83	No
LTR54	LTR54	0.55139812	-0.375372572	83.5	74	83.5	No
L1MB2	L1MB2	0.246988918	-5.110831512	84	96	84	No
L1P4a	L1P4a	-2.370378305	2.443765793	84	29	84	No
LTR28C	LTR28C	-3.390567855	5.140461279	84	43	84	No
LTR34	LTR34	0.137901466	1.446789188	84	43	84	No
MER34C_	MER34C_	0.472626377	0.112966785	84	82	84	No
MER57E2	MER57E2	-1.463286974	2.234327322	84	90	84	No
PrimLTR79	PrimLTR79	-1.433341759	2.656149246	84	43	84	No
LTR75_1	LTR75_1	-0.938154562	2.737439006	85	43	85	No
MER70A	MER70A	0.705106436	0.583479841	85	90	85	No
LTR31	LTR31	-1.137513398	1.353163793	86	43	86	No
MER52D	MER52D	-3.321269573	5.171508252	86	43	86	No
MER57C2	MER57C2	-0.290603932	1.875298704	86	74	86	No
MER57D	MER57D	-0.379007425	1.932692487	86	90	86	No
MER57E1	MER57E1	-0.414570081	1.659008445	86	90	86	No
MER72B	MER72B	0.181476935	1.486018205	86.5	43	86.5	No
L1MB1	L1MB1	-0.00167536	-5.702571134	87	90	87	No
L1MC2	L1MC2	0.523907386	-5.354139471	87	96	87	No
MER34B	MER34B	1.080184455	-0.342872913	87	74	87	No
L1MB4	L1MB4	0.23721859	-5.212052375	88	96	88	No
L1PA15-16	L1PA15-16	-2.838328775	-1.963516045	88	29	88	No
LTR25-int	LTR25-int	-3.171513177	4.76819628	88	20	88	No
LTR38B	LTR38B	-0.713756792	1.605786588	88	43	88	No
MER4CL34	MER4CL34	1.766583696	-0.80337274	88	43	88	No
MER54A	MER54A	0.794773913	0.258242144	88	90	88	No
MER57C1	MER57C1	-0.636848546	2.257405362	88	74	88	No
MER66A	MER66A	0.255393144	1.208253216	88	43	88	No
MLT2C2	MLT2C2	1.786032026	-2.818324376	88	96	88	No
L1M2	L1M2	-2.477829868	-2.569554523	89	43	89	No
L1MA9	L1MA9	-0.009478959	-5.793102531	89	82	89	No
MLT2B1	MLT2B1	0.785906558	-4.901831336	89	90	89	No
MLT2B5	MLT2B5	0.89491211	-0.944453061	89	67	89	No
LTR73	LTR73	-0.399587063	1.427188982	90	43	90	No
MER65C	MER65C	-2.122027875	1.027017831	90	67	90	No
HERV35I-int	HERV35I-int	-2.1817022	0.128460652	91	29	91	No
MLT1A1	MLT1A1	0.709711849	-5.369649414	91	90	91	No
MSTD	MSTD	1.173567499	-4.565390151	91	74	91	No
L1M3	L1M3	-2.583626889	-2.453387239	92	67	92	No
L1M3f	L1M3f	-2.59196824	-2.492590278	92	29	92	No
L1MB7	L1MB7	-0.030748261	-5.64464971	92	96	92	No
MER34C2	MER34C2	-0.317113555	2.295267219	92	74	92	No
MER50C	MER50C	-2.508866497	3.269938488	92	43	92	No
MER67A	MER67A	-1.332303481	2.258182546	92	90	92	No
