name,ratio,p.adj,sig,cond,day,role
MRE11A,-1.83,0.224,FALSE,436vsGFP,0,
RBMX2,-1.45,0.225,FALSE,436vsGFP,0,
PPA1,0.499,0.228,FALSE,436vsGFP,0,
RHOA,-1.63,0.23,FALSE,436vsGFP,0,
SUB1,-0.888,0.23,FALSE,436vsGFP,0,
MASTL,-2.04,0.243,FALSE,436vsGFP,0,
JMJD1C,-0.682,0.247,FALSE,436vsGFP,0,
CASC5,-1.55,0.25,FALSE,436vsGFP,0,
ATP5B,0.301,0.254,FALSE,436vsGFP,0,
TPX2,-1.33,0.255,FALSE,436vsGFP,0,
ZNF280C,-2.43,0.258,FALSE,436vsGFP,0,
TRIM22,1.47,0.259,FALSE,436vsGFP,0,
PC,0.531,0.26,FALSE,436vsGFP,0,
ZCCHC8,-1.29,0.26,FALSE,436vsGFP,0,
SSBP1,0.986,0.262,FALSE,436vsGFP,0,
TCF20,-2.33,0.262,FALSE,436vsGFP,0,
ILKAP,-0.973,0.266,FALSE,436vsGFP,0,
A0A6Q8PHK0,-1.9,0.269,FALSE,436vsGFP,0,
CSNK2A2,-0.607,0.269,FALSE,436vsGFP,0,
IPO11,-0.795,0.272,FALSE,436vsGFP,0,
PINX1,-1.98,0.276,FALSE,436vsGFP,0,
ZNF629,-2.23,0.277,FALSE,436vsGFP,0,
PSIP1,-1.47,0.279,FALSE,436vsGFP,0,
ZNF281,-2.24,0.279,FALSE,436vsGFP,0,
RRP1B,-1.87,0.28,FALSE,436vsGFP,0,
MLH1,-2.4,0.281,FALSE,436vsGFP,0,
SNRNP200,-0.568,0.283,FALSE,436vsGFP,0,
RECQL,-0.831,0.286,FALSE,436vsGFP,0,
THOC6,-0.689,0.289,FALSE,436vsGFP,0,
AGFG1,-1.39,0.291,FALSE,436vsGFP,0,
MED26,-0.943,0.292,FALSE,436vsGFP,0,
RBM28,-2.13,0.294,FALSE,436vsGFP,0,
MAGED2,-0.455,0.295,FALSE,436vsGFP,0,
BUD31,1.02,0.301,FALSE,436vsGFP,0,
HNRNPUL2-BSCL2,-0.575,0.302,FALSE,436vsGFP,0,
CPSF1,-0.78,0.308,FALSE,436vsGFP,0,
ZNF423,-1.1,0.31,FALSE,436vsGFP,0,
TCERG1,-0.776,0.311,FALSE,436vsGFP,0,
KIAA1551,1.28,0.312,FALSE,436vsGFP,0,
IK,-1.37,0.313,FALSE,436vsGFP,0,
PPIL2,-1.02,0.313,FALSE,436vsGFP,0,
HNRNPA3.1,-1.4,0.319,FALSE,436vsGFP,0,
SAFB,-1.08,0.32,FALSE,436vsGFP,0,
SURF6,-1.52,0.324,FALSE,436vsGFP,0,
CEP85,0.522,0.333,FALSE,436vsGFP,0,
PCCB,0.49,0.336,FALSE,436vsGFP,0,
ZC3H11A,-2.05,0.338,FALSE,436vsGFP,0,
HNRNPH2,0.452,0.344,FALSE,436vsGFP,0,
SLC4A1AP,-1.59,0.344,FALSE,436vsGFP,0,
SMARCAD1,-0.601,0.344,FALSE,436vsGFP,0,
ZNF462,-1.27,0.35,FALSE,436vsGFP,0,
NCOR2,-0.567,0.352,FALSE,436vsGFP,0,
XRCC6,-0.429,0.352,FALSE,436vsGFP,0,
NUP153,-1.13,0.353,FALSE,436vsGFP,0,
MEPCE,-0.864,0.355,FALSE,436vsGFP,0,
MBD3,-0.845,0.359,FALSE,436vsGFP,0,
NSRP1,-1.77,0.359,FALSE,436vsGFP,0,
ZNF644,-2.04,0.359,FALSE,436vsGFP,0,
CDC73,-1.08,0.364,FALSE,436vsGFP,0,
WDR36,-1.27,0.371,FALSE,436vsGFP,0,
SC5D,0.409,0.372,FALSE,436vsGFP,0,
DPPA4,-0.515,0.373,FALSE,436vsGFP,0,
NXF1,-0.712,0.376,FALSE,436vsGFP,0,
MTHFD2,0.817,0.38,FALSE,436vsGFP,0,
GNL2,-1.2,0.385,FALSE,436vsGFP,0,
PAF1,-1.52,0.386,FALSE,436vsGFP,0,
OTUB1,0.363,0.388,FALSE,436vsGFP,0,
RBBP7,-0.974,0.389,FALSE,436vsGFP,0,
SF1.1,-0.495,0.389,FALSE,436vsGFP,0,
EMC8,0.976,0.395,FALSE,436vsGFP,0,
ALDH2,0.374,0.396,FALSE,436vsGFP,0,
ZNF148,-1.14,0.398,FALSE,436vsGFP,0,
MSH6,-0.29,0.4,FALSE,436vsGFP,0,
ATAD3A,0.523,0.401,FALSE,436vsGFP,0,
C1QBP,-0.99,0.401,FALSE,436vsGFP,0,
GLYR1,-2.19,0.403,FALSE,436vsGFP,0,
TOX4,-1.24,0.407,FALSE,436vsGFP,0,
BCAS2,-0.821,0.41,FALSE,436vsGFP,0,
UPF1,-0.386,0.418,FALSE,436vsGFP,0,
DNMT3A,-0.976,0.431,FALSE,436vsGFP,0,
PCCA,0.491,0.431,FALSE,436vsGFP,0,
NUP214,-0.452,0.435,FALSE,436vsGFP,0,
YAP1,-1.3,0.44,FALSE,436vsGFP,0,
SKIV2L2,-0.421,0.441,FALSE,436vsGFP,0,
DDX24,-0.892,0.445,FALSE,436vsGFP,0,
HCFC1,-1.13,0.448,FALSE,436vsGFP,0,
BANF1,-3.78,0.449,FALSE,436vsGFP,0,
LRWD1,-1.26,0.451,FALSE,436vsGFP,0,
CIR1,1.14,0.453,FALSE,436vsGFP,0,
ZBTB12,-1.23,0.454,FALSE,436vsGFP,0,
DDX46,-1.21,0.458,FALSE,436vsGFP,0,
ZMAT2,-2.22,0.458,FALSE,436vsGFP,0,
SF3A2,-0.564,0.472,FALSE,436vsGFP,0,
PARN,-1.54,0.473,FALSE,436vsGFP,0,
OGT,-0.596,0.475,FALSE,436vsGFP,0,
INTS12,-1.03,0.476,FALSE,436vsGFP,0,
MCCC1,0.472,0.481,FALSE,436vsGFP,0,
MRPL37,0.369,0.482,FALSE,436vsGFP,0,
SALL3,-1.16,0.484,FALSE,436vsGFP,0,
RPN2,0.327,0.492,FALSE,436vsGFP,0,
BCOR,-0.937,0.497,FALSE,436vsGFP,0,
WDFY1,-1.2,0.497,FALSE,436vsGFP,0,
LMAN1,0.541,0.498,FALSE,436vsGFP,0,
Q9UHD8-5,0.276,0.498,FALSE,436vsGFP,0,
WRNIP1,-1.25,0.498,FALSE,436vsGFP,0,
NOC3L,-3.8,0.5,FALSE,436vsGFP,0,
SLC25A3,0.396,0.503,FALSE,436vsGFP,0,
RRP7A,-0.705,0.508,FALSE,436vsGFP,0,
SF3B4,-0.997,0.514,FALSE,436vsGFP,0,
EP400,-1.63,0.515,FALSE,436vsGFP,0,
DKC1,-1.11,0.517,FALSE,436vsGFP,0,
NCL,-1.51,0.518,FALSE,436vsGFP,0,
DPYSL3,0.255,0.519,FALSE,436vsGFP,0,
WDR82,-1.29,0.523,FALSE,436vsGFP,0,
CBX1,-1.25,0.524,FALSE,436vsGFP,0,
TAF6,-1.3,0.524,FALSE,436vsGFP,0,
MCCC2,0.52,0.526,FALSE,436vsGFP,0,
BRD4,-1.34,0.529,FALSE,436vsGFP,0,
FAM192A,-0.914,0.531,FALSE,436vsGFP,0,
NELFE,-1.41,0.531,FALSE,436vsGFP,0,
ACIN1,-2.88,0.532,FALSE,436vsGFP,0,
VPS29,0.549,0.532,FALSE,436vsGFP,0,
C17orf85,-1.39,0.537,FALSE,436vsGFP,0,
RAVER1,-1.17,0.539,FALSE,436vsGFP,0,
PARG,-0.486,0.541,FALSE,436vsGFP,0,
PRCC,-1.09,0.541,FALSE,436vsGFP,0,
NOC2L,-0.402,0.543,FALSE,436vsGFP,0,
CDK11B,-0.845,0.546,FALSE,436vsGFP,0,
PHAX,-1.3,0.547,FALSE,436vsGFP,0,
CCT7,0.237,0.55,FALSE,436vsGFP,0,
WIZ,-1.63,0.553,FALSE,436vsGFP,0,
SAFB2,-1.08,0.557,FALSE,436vsGFP,0,
TOMM40,0.378,0.559,FALSE,436vsGFP,0,
RPAP3,-1.21,0.561,FALSE,436vsGFP,0,
ATP1A1,0.244,0.562,FALSE,436vsGFP,0,
CBX5,-0.556,0.563,FALSE,436vsGFP,0,
GTF2A2,-0.909,0.563,FALSE,436vsGFP,0,
DDX28,1.52,0.564,FALSE,436vsGFP,0,
CSTF2,-1.1,0.566,FALSE,436vsGFP,0,
MSH3,-1.67,0.569,FALSE,436vsGFP,0,
RBM17,-0.98,0.569,FALSE,436vsGFP,0,
MYBBP1A,-0.698,0.57,FALSE,436vsGFP,0,
PDIA6,0.565,0.57,FALSE,436vsGFP,0,
TDRP,-1.42,0.57,FALSE,436vsGFP,0,
DHX9,-0.222,0.574,FALSE,436vsGFP,0,
BRD7,-1.46,0.575,FALSE,436vsGFP,0,
GTF3C1,-1.14,0.583,FALSE,436vsGFP,0,
RPL35A,0.348,0.583,FALSE,436vsGFP,0,
CARM1,0.331,0.585,FALSE,436vsGFP,0,
POLA1,-3.32,0.585,FALSE,436vsGFP,0,
FANCI,-2.45,0.586,FALSE,436vsGFP,0,
TMPO,-2.29,0.587,FALSE,436vsGFP,0,
USP34,-1.14,0.587,FALSE,436vsGFP,0,
CWF19L2,-1.59,0.588,FALSE,436vsGFP,0,
DDX17,0.208,0.592,FALSE,436vsGFP,0,
SF3B5,-0.694,0.593,FALSE,436vsGFP,0,
IDH2,0.296,0.594,FALSE,436vsGFP,0,
QSER1,-1.12,0.594,FALSE,436vsGFP,0,
LAS1L,-0.807,0.602,FALSE,436vsGFP,0,
ILF3,-1.81,0.603,FALSE,436vsGFP,0,
NDUFA9,0.308,0.603,FALSE,436vsGFP,0,
SF3B3,-1.03,0.604,FALSE,436vsGFP,0,
TAF7,-1.38,0.604,FALSE,436vsGFP,0,
DLD,0.322,0.605,FALSE,436vsGFP,0,
GATAD2A,-0.56,0.609,FALSE,436vsGFP,0,
PDIA3,0.56,0.611,FALSE,436vsGFP,0,
EXOSC9,-0.452,0.613,FALSE,436vsGFP,0,
PDS5A,-1.04,0.613,FALSE,436vsGFP,0,
GPATCH8,-0.823,0.615,FALSE,436vsGFP,0,
PUF60,-1.68,0.615,FALSE,436vsGFP,0,
DARS2,0.313,0.62,FALSE,436vsGFP,0,
AHCY,0.272,0.621,FALSE,436vsGFP,0,
LYPLA2,-0.764,0.621,FALSE,436vsGFP,0,
LSG1,-0.531,0.623,FALSE,436vsGFP,0,
SHMT2,0.307,0.623,FALSE,436vsGFP,0,
ASCC3,-0.898,0.625,FALSE,436vsGFP,0,
RPLP2,0.294,0.625,FALSE,436vsGFP,0,
SERPINB9,0.732,0.625,FALSE,436vsGFP,0,
RPSA,0.341,0.626,FALSE,436vsGFP,0,
ZNF217,-0.747,0.626,FALSE,436vsGFP,0,
ADNP2,-1.04,0.627,FALSE,436vsGFP,0,
HUWE1,-1.16,0.627,FALSE,436vsGFP,0,
PGD,0.255,0.627,FALSE,436vsGFP,0,
LARP1,-0.284,0.628,FALSE,436vsGFP,0,
AASS,0.295,0.63,FALSE,436vsGFP,0,
CHAMP1,-3.08,0.631,FALSE,436vsGFP,0,
PRKDC,0.295,0.633,FALSE,436vsGFP,0,
PHIP,-2,0.634,FALSE,436vsGFP,0,
UBE2N,0.253,0.634,FALSE,436vsGFP,0,
ZBTB9,-1.01,0.634,FALSE,436vsGFP,0,
AHCYL1,-0.307,0.635,FALSE,436vsGFP,0,
ZC3H4,-1.5,0.639,FALSE,436vsGFP,0,
PAPOLG,-1.06,0.64,FALSE,436vsGFP,0,
ANAPC1,-0.539,0.641,FALSE,436vsGFP,0,
TOP2B,-1.93,0.641,FALSE,436vsGFP,0,
DDX50,-0.945,0.643,FALSE,436vsGFP,0,
PFAS,0.306,0.646,FALSE,436vsGFP,0,
PLK1,-0.273,0.646,FALSE,436vsGFP,0,
UBR5,-2.56,0.646,FALSE,436vsGFP,0,
SRP14,0.274,0.647,FALSE,436vsGFP,0,
ACACB,0.333,0.648,FALSE,436vsGFP,0,
TLK2,-1.02,0.648,FALSE,436vsGFP,0,
ZRANB2,-0.868,0.648,FALSE,436vsGFP,0,
HNRNPR,-3.38,0.649,FALSE,436vsGFP,0,
RHEB,-0.337,0.65,FALSE,436vsGFP,0,
BAZ1B,-0.993,0.651,FALSE,436vsGFP,0,
POLD3,-1.07,0.651,FALSE,436vsGFP,0,
WDR1,0.392,0.652,FALSE,436vsGFP,0,
ZNF521,-1.21,0.652,FALSE,436vsGFP,0,
HNRNPA1,-1.2,0.656,FALSE,436vsGFP,0,
ZCCHC3,-1.26,0.658,FALSE,436vsGFP,0,
SON,-1.04,0.66,FALSE,436vsGFP,0,
MYL6,0.428,0.662,FALSE,436vsGFP,0,
DNAJB6,0.419,0.665,FALSE,436vsGFP,0,
EIF3L,0.224,0.667,FALSE,436vsGFP,0,
NUP107,-0.228,0.668,FALSE,436vsGFP,0,
API5,-1.78,0.669,FALSE,436vsGFP,0,
LIG1,-0.873,0.669,FALSE,436vsGFP,0,
PRPF19,-0.687,0.67,FALSE,436vsGFP,0,
RSL1D1,-0.747,0.671,FALSE,436vsGFP,0,
RANGAP1,-0.423,0.673,FALSE,436vsGFP,0,
RAVER2,-0.468,0.673,FALSE,436vsGFP,0,
USP7,-1.09,0.675,FALSE,436vsGFP,0,
IMPDH2,0.432,0.676,FALSE,436vsGFP,0,
MYO1E,0.311,0.676,FALSE,436vsGFP,0,
ANXA7,0.492,0.68,FALSE,436vsGFP,0,
DDX10,-2.91,0.68,FALSE,436vsGFP,0,
CSNK2A1,-0.492,0.681,FALSE,436vsGFP,0,
ZCCHC17,0.453,0.681,FALSE,436vsGFP,0,
KIF22,-1.15,0.682,FALSE,436vsGFP,0,
RNF169,0.832,0.683,FALSE,436vsGFP,0,
TARDBP,-0.325,0.685,FALSE,436vsGFP,0,
SUCLG1,0.288,0.686,FALSE,436vsGFP,0,
POLDIP2,0.297,0.688,FALSE,436vsGFP,0,
TTK,-0.388,0.689,FALSE,436vsGFP,0,
UQCRC2,0.244,0.689,FALSE,436vsGFP,0,
HADHA,0.318,0.69,FALSE,436vsGFP,0,
NCLN,0.288,0.69,FALSE,436vsGFP,0,
ACAA2,0.324,0.691,FALSE,436vsGFP,0,
HDAC2,-0.441,0.691,FALSE,436vsGFP,0,
SPDL1,-1.03,0.692,FALSE,436vsGFP,0,
AUTS2,0.34,0.693,FALSE,436vsGFP,0,
YWHAQ,0.34,0.693,FALSE,436vsGFP,0,
PPP1CA,-0.477,0.694,FALSE,436vsGFP,0,
ZNF106,-3.13,0.694,FALSE,436vsGFP,0,
IPO5,0.288,0.695,FALSE,436vsGFP,0,
MTCH1,0.243,0.695,FALSE,436vsGFP,0,
RPS20,0.331,0.697,FALSE,436vsGFP,0,
UBE2O,-0.567,0.697,FALSE,436vsGFP,0,
FAU,-2.17,0.701,FALSE,436vsGFP,0,
PCYT1A,-0.646,0.701,FALSE,436vsGFP,0,
FKBP4,0.449,0.702,FALSE,436vsGFP,0,
RUVBL2,-0.439,0.702,FALSE,436vsGFP,0,
NUP50,-3.64,0.704,FALSE,436vsGFP,0,
PSMD2,-0.249,0.704,FALSE,436vsGFP,0,
LRPPRC,0.439,0.705,FALSE,436vsGFP,0,
CSTF2T,-0.603,0.706,FALSE,436vsGFP,0,
SPCS3,0.296,0.706,FALSE,436vsGFP,0,
HSP90B1,0.29,0.707,FALSE,436vsGFP,0,
ZMYM1,-1.01,0.707,FALSE,436vsGFP,0,
KPRP,2.81,0.709,FALSE,436vsGFP,0,
RUVBL1,-0.329,0.71,FALSE,436vsGFP,0,
WDHD1,-1.71,0.71,FALSE,436vsGFP,0,
CDCA7L,-0.969,0.711,FALSE,436vsGFP,0,
EDC3,-2.18,0.712,FALSE,436vsGFP,0,
PSMC5,-0.239,0.713,FALSE,436vsGFP,0,
ECHS1,0.354,0.714,FALSE,436vsGFP,0,
NEK9,-0.304,0.714,FALSE,436vsGFP,0,
RPS18,0.415,0.714,FALSE,436vsGFP,0,
FXR1,0.202,0.716,FALSE,436vsGFP,0,
GNB2L1,0.191,0.716,FALSE,436vsGFP,0,
NPM3,-1.36,0.716,FALSE,436vsGFP,0,
ARID3B,-1.48,0.718,FALSE,436vsGFP,0,
FUBP3,-0.424,0.718,FALSE,436vsGFP,0,
HNRNPC,-0.995,0.719,FALSE,436vsGFP,0,
LIN28B,1.02,0.719,FALSE,436vsGFP,0,
TOP2A,-1.2,0.719,FALSE,436vsGFP,0,
YTHDF3,-0.565,0.719,FALSE,436vsGFP,0,
DDX5,-0.302,0.72,FALSE,436vsGFP,0,
AGO2,0.385,0.721,FALSE,436vsGFP,0,
SPATA2,-1.37,0.721,FALSE,436vsGFP,0,
BMS1,-1.37,0.722,FALSE,436vsGFP,0,
EMSY,-3.28,0.722,FALSE,436vsGFP,0,
TAGLN2,-1.51,0.722,FALSE,436vsGFP,0,
HSD17B10,0.379,0.723,FALSE,436vsGFP,0,
RPA3,-0.685,0.723,FALSE,436vsGFP,0,
