name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
HSPD1,A0A7I2V599,0.224681556,0.864,FALSE,0.141,-0.16,0.00628,0.356,-0.0197,
LCLAT1,Q6UWP7-3,0.226672024,0.864,FALSE,0.158,-0.129,0.0491,0.165,0.0299,
MCM4,A0A3B3IU45,0.226800247,0.864,FALSE,-0.162,-0.0663,0.387,0.331,-0.228,
TRA2B,P62995,0.225872512,0.864,FALSE,0.16,-0.0572,0.0556,-0.129,0.103,
TUBA4A,P68366-2,0.224367456,0.864,FALSE,-0.542,-0.0835,0.478,1.1,-0.626,
UBE3C,Q15386,0.224980202,0.864,FALSE,0.156,-0.0952,-0.18,0.189,0.0608,
EIF4B,E7EX17,0.227433994,0.865,FALSE,-0.266,0.216,-0.404,-0.0638,-0.0499,
GNL1,P36915,0.229424639,0.865,FALSE,-0.14,-0.0212,0.187,0.241,-0.162,
GPSM1,A0A0A0MSK4,0.229509738,0.865,FALSE,0.245,-0.12,0.0987,-0.0769,0.125,
RBM12,Q9NTZ6,0.227973773,0.865,FALSE,0.501,0.356,-1.08,-1.71,0.857,
VWA1,Q6PCB0,0.228780683,0.865,FALSE,-0.496,-0.0112,0.0175,1.03,-0.508,
EDC4,Q6P2E9,0.230627009,0.866,FALSE,-0.141,-0.0273,0.156,0.287,-0.169,
FADS2,O95864,0.231039708,0.866,FALSE,-0.155,0.0116,-0.013,0.273,-0.144,
MACF1,H3BPE1,0.229755296,0.866,FALSE,-0.242,0.472,-0.0602,-1.36,0.229,
NAGK,Q9UJ70,0.229521575,0.866,FALSE,0.195,-0.185,0.134,0.261,0.01,
AAK1,A0A096LP25,0.234253872,0.867,FALSE,-0.523,0.357,-0.547,-0.0152,-0.167,
EZR,P15311,0.232238437,0.867,FALSE,0.375,-0.094,0.147,-0.472,0.281,
MAGED2,Q9UNF1,0.232305746,0.867,FALSE,-0.137,0.187,-0.0886,-0.412,0.049,
RPL15,P61313,0.234380963,0.867,FALSE,-0.106,0.0359,-0.0149,0.0789,-0.0704,
CWC22,B7WP74,0.236462529,0.868,FALSE,0.242,-0.259,0.00331,0.55,-0.0171,
EPB41L2,O43491-4,0.236263232,0.868,FALSE,0.15,-0.184,0.0901,0.375,-0.0338,
FBXL18,Q96ME1-4,0.235241804,0.868,FALSE,-0.152,0.0748,-0.0164,0.0165,-0.0776,
HNRNPL,P14866,0.235638749,0.868,FALSE,0.141,-0.0422,0.033,-0.135,0.0988,
NDUFA13,Q9P0J0,0.236778156,0.868,FALSE,-0.159,0.237,-0.0793,-0.575,0.0775,
NO66,Q9H6W3,0.236792858,0.868,FALSE,0.226,-0.148,0.0223,0.127,0.0775,
PCID2,Q5JVF3-3,0.2357184,0.868,FALSE,-0.109,0.076,-0.126,-0.00142,-0.0333,
RPL26,P61254,0.235449868,0.868,FALSE,-0.102,0.0395,-0.0548,0.0825,-0.0625,
DYNC1I2,Q13409,0.240417002,0.869,FALSE,0.13,-0.0224,-0.0559,-0.133,0.107,
MRPS27,G5EA06,0.239290249,0.869,FALSE,-0.146,0.102,0.0187,-0.126,-0.0448,
PLEKHA1,Q9HB21,0.238101978,0.869,FALSE,-0.229,0.0963,-0.232,0.228,-0.133,
RBBP4,Q09028-3,0.239595051,0.869,FALSE,0.261,-0.109,0.247,-0.251,0.152,
DHRS7B,A0A0C4DGQ8,0.242220959,0.87,FALSE,-0.125,-0.0401,-0.226,0.562,-0.165,
DPM1,Q5QPK2,0.242062989,0.87,FALSE,-0.118,0.0361,-0.0983,0.158,-0.0822,
ERLIN1,O75477,0.241354052,0.87,FALSE,-0.126,0.00482,-0.104,0.302,-0.121,
LPL,P06858,0.24157342,0.87,FALSE,-0.445,0.385,-1.31,0.225,-0.0599,
PGM3,O95394-4,0.242189587,0.87,FALSE,-0.141,0.151,-0.236,-0.165,0.0102,
SEC13,P55735,0.242372568,0.87,FALSE,0.131,-0.156,0.268,0.182,-0.0246,
SHROOM2,Q13796,0.24112084,0.87,FALSE,-0.215,0.145,-0.0391,-0.122,-0.0707,
VRK1,Q99986,0.243116609,0.87,FALSE,-0.182,0.0421,0.295,-0.00125,-0.14,
FAM98B,Q52LJ0,0.245669419,0.871,FALSE,0.14,-0.123,0.22,0.0662,0.0168,
HELLS,Q9NRZ9-2,0.245872043,0.871,FALSE,-0.305,0.866,0.442,-3.15,0.561,
RAB6A,P20340-2,0.2454888,0.871,FALSE,-0.142,0.0909,-0.111,-0.00569,-0.051,
SF3B5,Q9BWJ5,0.244153429,0.871,FALSE,0.202,0.0383,-0.124,-0.475,0.241,
TRAM1,G3XAN4,0.246193366,0.871,FALSE,-0.247,0.0806,-0.259,0.345,-0.166,
CPSF2,Q9P2I0,0.249000831,0.872,FALSE,0.143,0.0918,-0.141,-0.559,0.234,
KRT1,P04264,0.248421233,0.872,FALSE,-0.352,0.224,-0.203,-0.057,-0.128,
PTPN11,Q06124-1,0.249522104,0.872,FALSE,-0.15,0.141,-0.102,-0.195,-0.00918,
SDCBP,G5EA09,0.247151401,0.872,FALSE,0.237,-0.193,0.131,0.212,0.0436,
TNRC6B,Q9UPQ9-1,0.247673949,0.872,FALSE,-0.222,0.153,0.0123,-0.177,-0.069,
UBE3A,A0A0D9SG77,0.248428361,0.872,FALSE,-0.152,0.113,0.129,-0.235,-0.0388,
AIFM1,O95831,0.250343635,0.873,FALSE,0.225,0.00856,-0.145,-0.387,0.233,
ANXA5,P08758,0.252326357,0.873,FALSE,0.264,-0.18,-0.378,0.443,0.0843,
DCTN1,E7EX90,0.251361584,0.873,FALSE,-0.167,0.174,-0.0751,-0.312,0.00716,
MTFP1,B5MC22,0.252693951,0.873,FALSE,0.143,0.0249,-0.0581,-0.348,0.168,
NAA10,P41227,0.249728925,0.873,FALSE,-0.111,0.077,0.0152,-0.0962,-0.0339,
NAE1,Q13564-2,0.251959939,0.873,FALSE,-0.127,0.118,0.115,-0.294,-0.00913,
RAB35,Q15286,0.249827884,0.873,FALSE,0.174,-0.233,0.0831,0.527,-0.0583,
TRIM71,Q2Q1W2,0.250776382,0.873,FALSE,-0.398,-0.188,0.851,0.979,-0.585,
TTLL12,Q14166,0.252386666,0.873,FALSE,0.117,-0.154,0.256,0.21,-0.0365,
UBA5,C9J5W5,0.249627671,0.873,FALSE,-0.442,0.158,0.0098,0.244,-0.284,
UPF1,Q92900-2,0.251523474,0.873,FALSE,0.199,-0.231,-0.0053,0.53,-0.0322,
WDR61,H0YN81,0.249639326,0.873,FALSE,-0.277,-0.118,0.408,0.754,-0.395,
KIAA1217,A0A8Q3WMI8,0.254855795,0.874,FALSE,-0.23,0.0549,0.014,0.231,-0.175,
OAT,P04181,0.253550352,0.874,FALSE,-0.144,-0.135,0.451,0.528,-0.279,
RBBP7,E9PC52,0.252977904,0.874,FALSE,0.165,-0.1,0.197,-0.0598,0.0648,
RPL28,P46779,0.254363777,0.874,FALSE,-0.128,0.00818,0.0746,0.173,-0.12,
SLC16A1,P53985,0.254484141,0.874,FALSE,-0.186,0.325,0.0117,-0.936,0.139,
ANXA11,P50995,0.256761483,0.875,FALSE,-0.0899,0.00873,-0.187,0.269,-0.0811,
DMD,A0A075B6G3,0.25761239,0.875,FALSE,-0.3,0.27,-0.16,-0.372,-0.0306,
DNMT3A,A0A0C4DG02,0.25695093,0.875,FALSE,-0.154,0.0038,0.0801,0.24,-0.15,
FAM168A,Q92567,0.257170678,0.875,FALSE,-0.144,0.0583,0.0612,0.0132,-0.0853,
FGA,P02671,0.257348152,0.875,FALSE,-0.346,-0.0106,-0.169,0.846,-0.356,
HM13,A0A3B3IUB5,0.256781656,0.875,FALSE,-0.413,0.193,-0.294,0.251,-0.22,
LOXL2,Q9Y4K0,0.257996022,0.875,FALSE,-0.585,0.28,0.947,-0.58,-0.305,
SEC11A,H0YNG3,0.258047718,0.875,FALSE,0.128,-0.0576,-0.241,0.135,0.0705,
TUBB2B,Q9BVA1,0.256594462,0.875,FALSE,-0.144,-0.0517,-0.0114,0.503,-0.196,
ARHGEF2,Q92974-3,0.262123014,0.876,FALSE,-0.126,0.0754,-0.0623,-0.00839,-0.0504,
CLIC4,Q9Y696,0.261961773,0.876,FALSE,-0.224,0.254,-0.016,-0.556,0.0295,
LAMB2,P55268,0.259809872,0.876,FALSE,-0.628,0.458,1.06,-1.28,-0.171,
PDHX,A0A8C8MSB2,0.261521768,0.876,FALSE,-0.198,0.246,0.149,-0.69,0.049,
PHF21A,H0YEK2,0.25934126,0.876,FALSE,-0.19,-0.0935,0.19,0.627,-0.283,
PSMC6,A0A087X2I1,0.2605241,0.876,FALSE,0.12,-0.12,0.109,0.17,-0.000948,
RAB5B,P61020,0.261519657,0.876,FALSE,-0.127,0.117,-0.0451,-0.186,-0.00921,
RARS2,Q5T160,0.261146349,0.876,FALSE,-0.138,-0.0773,0.194,0.455,-0.215,
SH3GLB1,A0A087WW40,0.262066733,0.876,FALSE,0.272,-0.272,0.286,0.355,-0.000375,
ZNF436,Q9C0F3,0.261015848,0.876,FALSE,0.603,0.0167,-0.616,-0.863,0.62,
ARL1,F8VYN9,0.262946011,0.877,FALSE,-0.125,0.0785,-0.361,0.176,-0.0465,
FDPS,P14324-2,0.262552512,0.877,FALSE,-0.0904,0.187,-0.322,-0.352,0.0966,
H1FX,Q92522,0.263144072,0.877,FALSE,0.293,-0.0258,-0.166,-0.371,0.267,
LARS,A0A6I8PL42,0.262737475,0.877,FALSE,-0.113,0.0407,0.151,-0.038,-0.0719,
LUZP1,Q86V48,0.264656149,0.877,FALSE,-0.161,0.124,-0.07,-0.13,-0.0363,
MDN1,Q9NU22,0.26511063,0.877,FALSE,0.668,-0.861,1.18,1.32,-0.193,
SRP54,G3V480,0.264887697,0.877,FALSE,0.136,0.000249,-0.204,-0.136,0.136,
DDX41,Q9UJV9,0.268880039,0.878,FALSE,0.135,-0.0762,-0.252,0.203,0.0587,
FUS,H3BPE7,0.267653928,0.878,FALSE,0.289,0.111,-0.467,-0.711,0.4,
MTCH1,Q9NZJ7,0.266848664,0.878,FALSE,-0.166,0.171,-0.155,-0.246,0.0043,
PBXIP1,Q96AQ6,0.268474727,0.878,FALSE,-0.2,0.0982,0.132,-0.0816,-0.101,
POLR2B,P30876,0.268726021,0.878,FALSE,-0.115,0.013,0.154,0.0756,-0.102,
PTBP1,A0A0U1RRM4,0.266515456,0.878,FALSE,0.166,-0.0919,-0.305,0.24,0.0736,
RNF214,Q8ND24,0.266911576,0.878,FALSE,0.219,-0.00445,-0.0443,-0.39,0.214,
SEC23B,A0A2R8YFH5,0.267054948,0.878,FALSE,0.179,-0.219,-0.223,0.669,-0.0407,
SMARCA5,O60264,0.268692085,0.878,FALSE,0.133,-0.122,0.029,0.201,0.0116,
ZFR,Q96KR1,0.266239538,0.878,FALSE,0.136,-0.0204,0.148,-0.289,0.115,
ARGLU1,Q9NWB6,0.269587141,0.879,FALSE,0.142,-0.0568,0.0676,-0.101,0.0849,
BGN,P21810,0.271478633,0.879,FALSE,0.263,-0.15,0.0704,0.0273,0.113,
CLIC1,O00299,0.26993815,0.879,FALSE,0.201,-0.322,0.271,0.707,-0.122,
GIGYF2,A0A7I2V3H7,0.272010763,0.879,FALSE,-0.194,0.164,0.129,-0.353,-0.0301,
HSPA1B,A0A0G2JIW1,0.270562624,0.879,FALSE,0.144,-0.0817,-0.261,0.213,0.0621,
PGM2L1,Q6PCE3,0.272341127,0.879,FALSE,-0.25,0.0794,-0.413,0.459,-0.171,
RBM15B,Q8NDT2,0.26935488,0.879,FALSE,0.162,0.0434,-0.545,-0.135,0.206,
ETFB,P38117-2,0.27465777,0.88,FALSE,-0.23,0.0656,0.012,0.19,-0.164,
HACD2,Q6Y1H2,0.275028923,0.88,FALSE,-0.153,0.0337,-0.438,0.464,-0.12,
MATR3,P43243,0.274238419,0.88,FALSE,0.141,0.14,-0.221,-0.697,0.282,
MRPL4,K7ES61,0.274813436,0.88,FALSE,-0.118,0.0407,-0.107,0.145,-0.0775,
PLOD3,O60568,0.275337518,0.88,FALSE,-0.213,0.0466,0.138,0.148,-0.167,
PRPH,P41219,0.276009281,0.88,FALSE,0.208,-0.217,0.323,0.238,-0.00924,
PTPRF,P10586,0.274084061,0.88,FALSE,0.297,-0.0818,-0.571,0.114,0.215,
RPS17,H3BNC9,0.272906835,0.88,FALSE,-0.303,-0.0448,0.419,0.505,-0.347,
TNNT2,P45379-11,0.273168586,0.88,FALSE,0.382,0.644,0.272,-3.52,1.03,
AKT1,P31749,0.278744298,0.881,FALSE,-0.116,0.13,-0.233,-0.133,0.0138,
ANXA4,Q6P452,0.27732069,0.881,FALSE,0.488,-0.405,-0.442,0.94,0.0824,
CAD,F8VPD4,0.277981217,0.881,FALSE,-0.16,-0.00393,0.0919,0.275,-0.164,
DDX20,A0A7P0T9T8,0.278605259,0.881,FALSE,-0.246,0.0735,0.252,0.0309,-0.173,
DDX39A,O00148,0.27653571,0.881,FALSE,-0.255,0.024,0.311,0.207,-0.231,
H2AFY,O75367,0.278088103,0.881,FALSE,0.232,-0.276,0.0851,0.582,-0.0437,
MRPL13,Q9BYD1,0.276503015,0.881,FALSE,-0.125,0.0683,-0.143,0.0733,-0.0572,
SEC24D,E9PC44,0.278125244,0.881,FALSE,-0.182,-0.0176,-0.0948,0.497,-0.199,
TOP1,P11387,0.2777666,0.881,FALSE,0.094,-0.0802,0.159,0.0269,0.0138,
USP24,Q9UPU5,0.277884623,0.881,FALSE,-0.13,0.0878,0.0558,-0.128,-0.0422,
VAT1,Q99536,0.277801302,0.881,FALSE,0.167,-0.146,0.0712,0.201,0.0215,
WDR36,A0A0A0MTB8,0.277448901,0.881,FALSE,0.132,-0.0551,0.357,-0.283,0.0774,
ZNF638,Q14966,0.278027538,0.881,FALSE,0.407,1.41,-2.78,-4.62,1.82,
GART,P22102,0.281232574,0.882,FALSE,-0.104,0.0272,0.0555,0.0628,-0.0771,
HK1,P19367-4,0.280469022,0.882,FALSE,-0.203,0.451,0.264,-1.57,0.248,
PPFIBP1,Q86W92-2,0.28166733,0.882,FALSE,-0.168,0.123,-0.0247,-0.138,-0.0455,
STAU1,Q5JW30,0.282993832,0.882,FALSE,-0.129,0.0053,0.198,0.105,-0.124,
UXS1,Q8NBZ7,0.283549887,0.882,FALSE,0.347,-0.32,-0.503,0.923,0.0266,
DCAKD,Q8WVC6,0.285556757,0.883,FALSE,-0.0901,0.096,-0.0362,-0.18,0.0059,
NIP7,Q9Y221-2,0.285469812,0.883,FALSE,-0.174,-0.0602,0.232,0.434,-0.234,
TNNI1,P19237,0.286978032,0.883,FALSE,0.511,0.43,-0.0183,-2.73,0.941,
STT3B,Q8TCJ2,0.288668496,0.884,FALSE,-0.12,0.0628,-0.249,0.155,-0.0571,
VPS33A,H3BMM5,0.291174425,0.884,FALSE,-0.164,0.0423,0.155,0.0559,-0.122,
BUB3,O43684-2,0.293564008,0.885,FALSE,0.14,-0.156,0.154,0.243,-0.0166,
CTSB,P07858,0.292546385,0.885,FALSE,-0.13,0.0737,-0.492,0.292,-0.0559,
GPATCH1,Q9BRR8,0.294171937,0.885,FALSE,0.558,0.456,0.247,-3.11,1.01,
PKM.1,P14618-2,0.292836337,0.885,FALSE,0.237,0.0139,0.0669,-0.575,0.251,
RBPMS,Q93062-5,0.292434144,0.885,FALSE,0.135,0.0715,-0.113,-0.481,0.207,
RPL22L1,C9JYQ9,0.292485469,0.885,FALSE,-0.162,0.0217,0.27,0.0568,-0.14,
SLC25A3,Q00325-2,0.292230237,0.885,FALSE,-0.181,0.206,-0.0201,-0.45,0.0252,
ST13,P50502,0.291783425,0.885,FALSE,0.223,-0.153,-0.0649,0.208,0.0702,
CHST14,Q8NCH0,0.295917256,0.886,FALSE,-0.255,-0.0983,-0.225,1.05,-0.353,
ERGIC1,Q969X5-2,0.298976789,0.886,FALSE,-0.166,0.014,0.0509,0.243,-0.152,
GBF1,Q92538,0.296573556,0.886,FALSE,-0.14,0.0429,0.034,0.0852,-0.0969,
INTS10,Q9NVR2,0.295843619,0.886,FALSE,0.104,-0.115,0.155,0.15,-0.011,
MAK16,Q9BXY0,0.298791543,0.886,FALSE,0.109,-0.19,0.366,0.296,-0.0803,
NCBP1,Q09161,0.295960817,0.886,FALSE,0.223,-0.151,0.00728,0.154,0.0719,
PSMD7,P51665,0.296783638,0.886,FALSE,0.076,-0.0872,0.0681,0.151,-0.0112,
TUFM,P49411,0.298749483,0.886,FALSE,-0.0965,0.067,-0.0763,-0.024,-0.0296,
VIM,P08670,0.297775146,0.886,FALSE,-0.152,0.0526,-0.625,0.51,-0.0992,
ACSS2,Q9NR19,0.300653916,0.887,FALSE,-0.149,0.137,-0.103,-0.181,-0.012,
FUBP3,Q96I24,0.299274612,0.887,FALSE,0.141,0.212,-0.375,-0.878,0.353,
KRT5,CON__P13647,0.299716524,0.887,FALSE,-0.466,0.293,-0.15,-0.142,-0.172,
NMT1,A0A7I2V539,0.30205837,0.887,FALSE,0.167,-0.111,0.24,-0.051,0.0561,
PYGM,P11217,0.302217847,0.887,FALSE,0.247,0.226,0.218,-1.54,0.473,
RCC1,P18754,0.299319799,0.887,FALSE,-0.125,-0.0624,0.104,0.431,-0.188,
RDH11,Q8TC12,0.301773864,0.887,FALSE,0.154,-0.129,-0.458,0.515,0.0244,
YTHDF1,Q9BYJ9,0.299306037,0.887,FALSE,-0.153,0.0307,-0.179,0.304,-0.123,
ASS1,P00966,0.306618226,0.888,FALSE,-0.128,0.205,-0.533,-0.21,0.0771,
NXN,Q6DKJ4,0.303929195,0.888,FALSE,0.0937,-0.163,0.192,0.336,-0.0691,
RANBP1,F6WQW2,0.306890438,0.888,FALSE,0.183,-0.234,0.0242,0.553,-0.0508,
RPS28,P62857,0.305819119,0.888,FALSE,-0.117,0.063,-0.00426,-0.015,-0.0541,
AGPAT4,Q9NRZ5,0.311506787,0.889,FALSE,-0.149,0.104,0.0564,-0.154,-0.0455,
AIMP2,Q13155,0.309861171,0.889,FALSE,-0.126,0.0361,0.196,-0.0229,-0.0899,
DHRS1,Q96LJ7,0.308581658,0.889,FALSE,-0.17,0.129,-0.111,-0.102,-0.0411,
MAP7,Q14244-3,0.308155854,0.889,FALSE,-0.573,0.207,-0.0642,0.361,-0.366,
MCCC2,Q9HCC0,0.311764506,0.889,FALSE,-0.248,0.338,0.0815,-0.909,0.09,
OBSL1,O75147,0.310743024,0.889,FALSE,-0.386,0.452,0.102,-1.1,0.0656,
RPL13A,P40429,0.309593346,0.889,FALSE,-0.075,-0.0104,0.0307,0.171,-0.0853,
ANAPC7,Q9UJX3-2,0.31265722,0.89,FALSE,-0.0852,0.021,0.11,0.0129,-0.0641,
AP3S1,Q92572,0.31409762,0.89,FALSE,-0.108,0.0261,-0.116,0.189,-0.0822,
ARCN1,B0YIW6,0.315916813,0.89,FALSE,-0.0989,0.0868,-0.305,0.0543,-0.0121,
MRPL41,Q8IXM3,0.313580655,0.89,FALSE,0.119,0.0767,-0.28,-0.359,0.196,
NUDT4,Q9NZJ9,0.315304536,0.89,FALSE,0.135,0.0206,0.119,-0.431,0.155,
PKP2,Q99959-2,0.313249743,0.89,FALSE,-0.257,0.3,0.205,-0.822,0.0426,
PMS1,P54277,0.314636052,0.89,FALSE,0.412,-0.266,-0.11,0.313,0.146,
POLR2A,A0A6Q8PGB0,0.314536351,0.89,FALSE,0.251,-0.284,0.22,0.489,-0.0337,
RAB18,Q9NP72-2,0.313960702,0.89,FALSE,0.18,-0.128,0.0941,0.0912,0.0515,
RPL32,D3YTB1,0.313852045,0.89,FALSE,-0.123,0.0683,-0.0581,0.0123,-0.0551,
RPL38,P63173,0.315797563,0.89,FALSE,-0.0781,0.00179,0.165,0.0389,-0.0763,
RPS5,M0R0F0,0.314626562,0.89,FALSE,0.167,-0.295,0.553,0.477,-0.128,
TAB2,Q9NYJ8,0.31569275,0.89,FALSE,-0.288,0.261,0.353,-0.705,-0.0268,
TXNDC5,Q8NBS9-2,0.313516583,0.89,FALSE,0.262,-0.246,-0.173,0.573,0.0168,
VPS36,Q86VN1,0.314325479,0.89,FALSE,-0.129,0.0889,0.0506,-0.131,-0.04,
LPP,Q93052,0.317538349,0.891,FALSE,-0.14,0.0851,0.0305,-0.081,-0.0547,
MAPRE2,Q15555-4,0.318790098,0.891,FALSE,-0.14,0.143,-0.219,-0.146,0.00318,
MYO1B,E9PDF6,0.317796265,0.891,FALSE,0.157,-0.132,-0.302,0.414,0.0253,
NUP98,P52948,0.317918974,0.891,FALSE,0.0985,-0.139,0.131,0.271,-0.0402,
PPP6C,O00743-2,0.319890361,0.891,FALSE,-0.157,-0.0498,0.266,0.337,-0.207,
RIPK1,Q13546,0.320225406,0.891,FALSE,-0.174,0.03,-0.23,0.381,-0.144,
RPL14,P50914,0.320685273,0.891,FALSE,-0.0864,-0.0459,0.131,0.269,-0.132,
SF1,H7C561,0.319221177,0.891,FALSE,-0.208,0.381,-0.543,-0.749,0.174,
TOR1AIP1,A0A0A0MSK5,0.31957827,0.891,FALSE,-0.166,0.0133,-0.0214,0.294,-0.153,
ZNF326,Q5BKZ1,0.319334863,0.891,FALSE,-0.13,0.109,-0.0647,-0.132,-0.021,
DRG2,P55039,0.321660875,0.892,FALSE,-0.0769,0.0118,0.053,0.0711,-0.0651,
EIF3H,B3KS98,0.323177769,0.892,FALSE,-0.181,-0.0157,0.0951,0.362,-0.197,
KTN1,Q86UP2-2,0.3243433,0.892,FALSE,-0.22,0.148,-0.136,-0.0617,-0.0718,
MCTS1,Q9ULC4-2,0.32241095,0.892,FALSE,0.135,-0.168,0.184,0.279,-0.033,
NACA,E9PAV3,0.321450366,0.892,FALSE,-0.154,0.218,-0.228,-0.412,0.0638,
NAT14,Q8WUY8,0.322597774,0.892,FALSE,0.123,-0.0402,-0.306,0.118,0.083,
PPT1,A0A2C9F2P4,0.321911785,0.892,FALSE,0.128,-0.0272,-0.331,0.074,0.1,
PSME2,Q9UL46,0.324404211,0.892,FALSE,-0.48,0.281,-0.409,0.11,-0.199,
SDHA,D6RFM5,0.322026482,0.892,FALSE,0.123,-0.136,0.158,0.192,-0.0128,
TP53RK,Q96S44,0.322671289,0.892,FALSE,0.115,-0.0477,0.0911,-0.0998,0.0673,
TST,Q16762,0.323646243,0.892,FALSE,-0.152,0.0478,-0.15,0.212,-0.104,
VPS29,Q9UBQ0,0.321128113,0.892,FALSE,-0.126,-0.0907,0.326,0.396,-0.216,
YWHAG,P61981,0.320924913,0.892,FALSE,0.122,0.0398,-0.448,-0.105,0.162,
ABCD1,P33897,0.326235171,0.893,FALSE,-0.173,0.0122,-0.418,0.577,-0.161,
DEGS1,O15121,0.327040746,0.893,FALSE,0.0795,0.0156,-0.104,-0.152,0.0951,
EIF2B5,A0A3B3ITG6,0.327689706,0.893,FALSE,-0.101,0.041,0.0943,-0.0244,-0.0602,
ELAVL1,Q15717,0.32993237,0.893,FALSE,-0.139,0.171,-0.0594,-0.364,0.0313,
FEN1,P39748,0.327189912,0.893,FALSE,-0.15,-0.0714,0.343,0.356,-0.221,
FLOT1,O75955,0.329561773,0.893,FALSE,-0.191,0.276,-0.0649,-0.679,0.0852,
ILVBL,A1L0T0,0.329439469,0.893,FALSE,-0.106,0.0764,-0.167,0.0183,-0.0298,
MYH3,P11055,0.330096869,0.893,FALSE,-0.388,0.901,0.515,-3.17,0.513,
RAE1,P78406,0.328941008,0.893,FALSE,0.124,-0.133,0.164,0.175,-0.0093,
SPTBN1,Q01082,0.328353621,0.893,FALSE,-0.247,0.324,-0.108,-0.73,0.0769,
SRP14,P37108,0.327761428,0.893,FALSE,0.0983,-0.0642,0.121,-0.0208,0.0341,
CPNE1,Q99829,0.334793774,0.894,FALSE,-0.129,-0.0315,-0.0711,0.431,-0.16,
GNA13,Q14344,0.33458941,0.894,FALSE,-0.148,-0.0737,0.274,0.409,-0.222,
PELP1,C9JFV4,0.333522848,0.894,FALSE,0.187,-0.218,0.424,0.217,-0.0313,
SCFD1,Q8WVM8,0.333009644,0.894,FALSE,-0.0875,0.0629,-0.046,-0.0459,-0.0246,
TALDO1,P37837-2,0.33315063,0.894,FALSE,0.114,-0.158,-0.0819,0.46,-0.0445,
TRIM25,Q14258,0.333952739,0.894,FALSE,0.103,-0.116,-0.107,0.33,-0.013,
ARHGAP1,Q07960,0.338828239,0.895,FALSE,-0.11,0.181,0.138,-0.594,0.0704,
CNN1,P51911,0.338930613,0.895,FALSE,0.181,0.127,-0.111,-0.797,0.308,
EIF3A,Q14152,0.339309335,0.895,FALSE,-0.0688,0.0418,-0.0667,0.015,-0.027,
ERAP1,Q9NZ08,0.337064864,0.895,FALSE,-0.194,0.134,-0.485,0.176,-0.0601,
HSD17B2,H3BS44,0.337208665,0.895,FALSE,-0.125,0.0833,-0.0119,-0.0744,-0.0421,
IDH3B,A0A087WZN1,0.33815058,0.895,FALSE,-0.159,0.343,0.247,-1.22,0.185,
NAA50,C9J5D1,0.336967898,0.895,FALSE,-0.234,0.0521,-0.13,0.346,-0.182,
RPL27A,E9PLL6,0.339156575,0.895,FALSE,0.116,-0.112,0.304,0.014,0.00403,
SF3A3,Q12874,0.33652601,0.895,FALSE,-0.143,0.096,-0.0263,-0.0801,-0.0472,
SLC25A1,P53007,0.33838224,0.895,FALSE,-0.0921,0.0973,-0.248,-0.0396,0.00522,
SND1,Q7KZF4,0.337826061,0.895,FALSE,-0.0757,0.0215,-0.00081,0.066,-0.0542,
SRSF4,Q08170,0.335550071,0.895,FALSE,-0.16,0.0859,0.0197,-0.0377,-0.0737,
SUCLG2,Q96I99,0.339429625,0.895,FALSE,-0.163,0.0534,-0.315,0.323,-0.11,
ECH1,Q13011,0.340650153,0.896,FALSE,0.193,-0.114,0.238,-0.0882,0.079,
EPS8L2,A0A3B3ISQ4,0.340437675,0.896,FALSE,0.256,-0.0464,-0.607,0.0783,0.21,
LONP1,K7EJE8,0.342869211,0.896,FALSE,-0.108,0.0168,0.0472,0.118,-0.0917,
PSMD1,Q99460,0.344443736,0.896,FALSE,0.212,-0.279,0.176,0.573,-0.0665,
TIMM50,Q3ZCQ8,0.345020448,0.896,FALSE,-0.0918,0.095,0.0124,-0.205,0.0032,
ACO2,A0A7I2V5T4,0.345494147,0.897,FALSE,0.206,-0.115,0.165,-0.0621,0.091,
BVES,Q8NE79,0.349095807,0.897,FALSE,-0.16,0.131,-0.302,-0.00333,-0.0287,
CCT7,Q99832-3,0.345548741,0.897,FALSE,-0.0905,-0.0861,0.479,0.206,-0.177,
CSDE1,O75534-4,0.348815471,0.897,FALSE,-0.148,-0.0444,-0.0303,0.494,-0.192,
CTDP1,A0A0J9YWB6,0.347670197,0.897,FALSE,-0.11,0.078,-0.0907,-0.0321,-0.0317,
KIAA0391,O15091-2,0.346295605,0.897,FALSE,-0.164,0.201,-0.146,-0.379,0.0373,
KIAA1598,A0MZ66,0.345226011,0.897,FALSE,0.217,-0.19,0.239,0.165,0.0277,
TTN.1,Q8WZ42-6,0.347953293,0.897,FALSE,-0.228,0.187,-0.583,0.0986,-0.0416,
UBA2,Q9UBT2,0.348593068,0.897,FALSE,-0.118,-0.0238,0.152,0.23,-0.142,
YWHAB,P31946,0.349797475,0.897,FALSE,0.201,-0.118,-0.347,0.3,0.0835,
ACSF3,A0A3B3ISK9,0.354546264,0.898,FALSE,-0.129,0.0894,0.0604,-0.14,-0.0394,
BCCIP,Q9P287-4,0.354374364,0.898,FALSE,-0.325,0.184,-0.0706,-0.0373,-0.142,
EXOSC4,Q9NPD3,0.352435282,0.898,FALSE,0.136,-0.183,0.425,0.177,-0.0472,
