File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF747QTY	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR306UIK	Histone ChIP-seq	/human-donors/ENCDO907YUG/	UBERON:0002080	heart right ventricle	tissue	Homo sapiens										H3K9me3-human	DNA						2021-09-21	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF566VPE/, /files/ENCFF959PUV/	2329101	ENCODE Processing Pipeline	bc211bd6b05f8e919843552c73b163c0		https://www.encodeproject.org/files/ENCFF747QTY/@@download/ENCFF747QTY.bed.gz				released	s3://encode-public/2021/09/16/e2c1851f-0120-4aac-8660-8cbeec762436/ENCFF747QTY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/16/e2c1851f-0120-4aac-8660-8cbeec762436/ENCFF747QTY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF391AYY	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR891YFI	Histone ChIP-seq	/human-donors/ENCDO763VKT/	EFO:0007598	HAP-1	cell line	Homo sapiens										H3K27me3-human	DNA						2020-08-28	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF708HAB/, /files/ENCFF465ZHL/, /files/ENCFF247DSQ/, /files/ENCFF356LFX/	1312540	ENCODE Processing Pipeline	f269bae4fdb8916d5022238bb851b56a		https://www.encodeproject.org/files/ENCFF391AYY/@@download/ENCFF391AYY.bed.gz				released	s3://encode-public/2020/08/24/c38591c9-f293-46ec-bc0b-83b33d74011a/ENCFF391AYY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/24/c38591c9-f293-46ec-bc0b-83b33d74011a/ENCFF391AYY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read depth, moderate library complexity		
ENCFF761QUK	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR555HJT	Histone ChIP-seq	/human-donors/ENCDO203ASI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens										H3K27ac-human	DNA						2021-05-06	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF438XGO/, /files/ENCFF356LFX/, /files/ENCFF439GOT/	1539704	ENCODE Processing Pipeline	b00430ea52d3f9ace1d063f5f9c02759		https://www.encodeproject.org/files/ENCFF761QUK/@@download/ENCFF761QUK.bed.gz				released	s3://encode-public/2021/04/10/d4e0546e-5799-486d-8f68-3d20c8e39abf/ENCFF761QUK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/04/10/d4e0546e-5799-486d-8f68-3d20c8e39abf/ENCFF761QUK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF783WEE	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR621ECQ	Histone ChIP-seq	/human-donors/ENCDO439CAZ/	UBERON:0002080	heart right ventricle	tissue	Homo sapiens										H3K9me3-human	DNA						2022-06-09	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF280WHW/, /files/ENCFF522TBF/	562594	ENCODE Processing Pipeline	71c59986ba245681576a098337be88f1		https://www.encodeproject.org/files/ENCFF783WEE/@@download/ENCFF783WEE.bed.gz				released	s3://encode-public/2022/06/06/a6c801ff-47fc-45ff-8471-5d21e54feaf3/ENCFF783WEE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/06/a6c801ff-47fc-45ff-8471-5d21e54feaf3/ENCFF783WEE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	low read depth, mild to moderate bottlenecking		
ENCFF587TBQ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR952BJX	Histone ChIP-seq	/human-donors/ENCDO845WKR/	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K27me3-human	DNA						2019-09-11	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF438QTI/, /files/ENCFF356LFX/, /files/ENCFF968CRH/	1975028	ENCODE Processing Pipeline	e6a1893882fe47a610ef33405e449aae		https://www.encodeproject.org/files/ENCFF587TBQ/@@download/ENCFF587TBQ.bed.gz				released	s3://encode-public/2020/09/21/67f5be9d-8a80-4cb9-a11e-388232213670/ENCFF587TBQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/67f5be9d-8a80-4cb9-a11e-388232213670/ENCFF587TBQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF416CCS	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR157MPY	Histone ChIP-seq	/human-donors/ENCDO843TIL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens										H3K27me3-human	DNA						2022-06-09	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF562OEO/, /files/ENCFF498SQC/	1085819	ENCODE Processing Pipeline	a7e3d74edee33bffc00fb0460d115ca0		https://www.encodeproject.org/files/ENCFF416CCS/@@download/ENCFF416CCS.bed.gz				released	s3://encode-public/2022/06/06/b23f9e9e-4c1d-473f-a594-9f09397cfebe/ENCFF416CCS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/06/b23f9e9e-4c1d-473f-a594-9f09397cfebe/ENCFF416CCS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF401XVC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR367WYJ	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0008450	psoas muscle	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF811RKQ/, /files/ENCFF941KOX/	1558521	ENCODE Processing Pipeline	6c9a2732a36bfe86ddf599c187d335a2		https://www.encodeproject.org/files/ENCFF401XVC/@@download/ENCFF401XVC.bed.gz				released	s3://encode-public/2020/10/10/299b5057-0e85-4bc5-aac0-f75037a054a9/ENCFF401XVC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/299b5057-0e85-4bc5-aac0-f75037a054a9/ENCFF401XVC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length, mixed read lengths	poor library complexity	
ENCFF492JLF	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR245BEV	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0008450	psoas muscle	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF941KOX/, /files/ENCFF645KUQ/, /files/ENCFF356LFX/	761557	ENCODE Processing Pipeline	ef8afd7098ac56aaaa23f10c672320a2		https://www.encodeproject.org/files/ENCFF492JLF/@@download/ENCFF492JLF.bed.gz				released	s3://encode-public/2020/10/10/73462bbb-5510-49d8-aff6-26e98e3bf8aa/ENCFF492JLF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/73462bbb-5510-49d8-aff6-26e98e3bf8aa/ENCFF492JLF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length		
ENCFF654FZD	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR949OYZ	Histone ChIP-seq	/human-donors/ENCDO058AAA/	UBERON:0008450	psoas muscle	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF356LFX/, /files/ENCFF147UBO/, /files/ENCFF797SRN/	770097	ENCODE Processing Pipeline	5628361ab2f148df7510a08663a9172e		https://www.encodeproject.org/files/ENCFF654FZD/@@download/ENCFF654FZD.bed.gz				released	s3://encode-public/2020/10/10/ac2418fc-b659-4b03-8a9a-0b45b14ff803/ENCFF654FZD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/10/ac2418fc-b659-4b03-8a9a-0b45b14ff803/ENCFF654FZD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking		
ENCFF319KZD	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR524MPL	Histone ChIP-seq	/human-donors/ENCDO660TGP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens										H3K27ac-human	DNA						2021-05-06	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF194TZO/, /files/ENCFF356LFX/, /files/ENCFF403MJC/	1925129	ENCODE Processing Pipeline	7057531ec751b19cba064adf65609f38		https://www.encodeproject.org/files/ENCFF319KZD/@@download/ENCFF319KZD.bed.gz				released	s3://encode-public/2021/04/10/8e651d79-d30d-4dbf-902a-0db580a382b3/ENCFF319KZD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/04/10/8e651d79-d30d-4dbf-902a-0db580a382b3/ENCFF319KZD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF589YOZ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR852VZG	Histone ChIP-seq	/human-donors/ENCDO660TGP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens										H3K27me3-human	DNA						2021-05-06	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF356LFX/, /files/ENCFF853VKR/, /files/ENCFF403MJC/	622624	ENCODE Processing Pipeline	70d848b8322b67fa156f720393a294ef		https://www.encodeproject.org/files/ENCFF589YOZ/@@download/ENCFF589YOZ.bed.gz				released	s3://encode-public/2021/04/10/ef19316a-dfb9-4863-bfb7-abf4c4aaa360/ENCFF589YOZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/04/10/ef19316a-dfb9-4863-bfb7-abf4c4aaa360/ENCFF589YOZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
ENCFF434CFN	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR373WCB	Histone ChIP-seq	/human-donors/ENCDO082FOL/, /human-donors/ENCDO055UKA/	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K36me3-human	DNA						2017-03-13	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF453IYT/, /files/ENCFF927BNL/, /files/ENCFF597BUF/, /files/ENCFF356LFX/, /files/ENCFF079UQW/	2107890	ENCODE Processing Pipeline	52272287f28112c9a8b8b081879b85da		https://www.encodeproject.org/files/ENCFF434CFN/@@download/ENCFF434CFN.bed.gz				released	s3://encode-public/2020/10/29/98e10914-f0f4-435f-9e86-8aa0441e8c8d/ENCFF434CFN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/29/98e10914-f0f4-435f-9e86-8aa0441e8c8d/ENCFF434CFN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF610EZI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR524RIH	Histone ChIP-seq	/human-donors/ENCDO082FOL/, /human-donors/ENCDO055UKA/	CL:0000775	neutrophil	primary cell	Homo sapiens										H3K9me3-human	DNA						2016-11-16	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF052OBI/, /files/ENCFF356LFX/, /files/ENCFF266RYT/, /files/ENCFF927BNL/, /files/ENCFF079UQW/	227948	ENCODE Processing Pipeline	c52339d7b80d4715e7c03d65bc34587d		https://www.encodeproject.org/files/ENCFF610EZI/@@download/ENCFF610EZI.bed.gz				released	s3://encode-public/2020/10/30/1b3e5a18-3881-43c1-87c5-a75a1558353d/ENCFF610EZI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/30/1b3e5a18-3881-43c1-87c5-a75a1558353d/ENCFF610EZI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF694AKL	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR958DEW	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002108	small intestine	tissue	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF044PJF/, /files/ENCFF064SNW/, /files/ENCFF356LFX/	1002799	ENCODE Processing Pipeline	75c18925f898d5c5c6c06ce3971417f1		https://www.encodeproject.org/files/ENCFF694AKL/@@download/ENCFF694AKL.bed.gz				released	s3://encode-public/2020/11/12/0f67dfb8-59a4-4596-a534-e24314d74168/ENCFF694AKL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/12/0f67dfb8-59a4-4596-a534-e24314d74168/ENCFF694AKL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length, inconsistent platforms, moderate library complexity	control insufficient read depth, insufficient read depth	
ENCFF861YME	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR299EQJ	Histone ChIP-seq	/human-donors/ENCDO097MEH/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens										H3K27ac-human	DNA						2021-05-06	ENCODE			200-600	1	1_1, 1_2							/files/ENCFF286MYS/, /files/ENCFF583HHJ/, /files/ENCFF356LFX/	1859272	ENCODE Processing Pipeline	4986cf87c352006e84ea880118c1d443		https://www.encodeproject.org/files/ENCFF861YME/@@download/ENCFF861YME.bed.gz				released	s3://encode-public/2021/04/10/63c03d11-ef20-421e-ba1b-6cef8a222327/ENCFF861YME.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/04/10/63c03d11-ef20-421e-ba1b-6cef8a222327/ENCFF861YME.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released			
